0,0,0,0,0,0,0,0,0,0,0
0.90227,1.4964,98043,0.66826,15824,25.414,15824,4.9797,1,1,1
0.89728,1.5543,92576,0.64338,15135,25.473,15135,7.7913,1,1,1
0.89139,1.7853,1.6483e+05,0.56012,27336,25.349,27336,44.366,1,1,1
0.90665,1.4542,10403,0.68767,1662.2,25.398,1662.2,4.2249,1,1,1
0.90032,1.5209,1.8172e+05,0.65748,29478,25.728,29478,6.2054,1,1,1
0.90396,1.4854,48538,0.6732,7802.7,25.46,7802.7,5.2333,1,1,1
0.87255,2.0922,2.6526e+05,0.47795,46145,25.445,46145,79.631,1,1,1
0.89548,1.6181,69909,0.618,11477,25.583,11477,12.496,1,1,1
0.88891,3.1873,1.6076e+05,0.31375,26828,25.344,26828,2922.6,1,1,1
0.88784,1.8434,1.5597e+05,0.54249,26101,25.835,26101,52.569,1,1,1
0.90408,1.4848,69641,0.6735,11191,25.556,11191,5.5501,1,1,1
0.8502,2.4775,44040,0.40363,8132.3,26.265,8132.3,110.53,1,1,1
0.89985,1.5297,2.1054e+05,0.65372,34189,25.379,34189,6.3245,1,1,1
0.88499,7.1085,1.9259e+05,0.14068,32471,26.024,32471,24104,1,1,1
0.90167,1.5376,14278,0.65036,2311.1,25.434,2311.1,7.3647,1,1,1
0.90386,1.496,8509.8,0.66844,1370.3,25.953,1370.3,5.0415,1,1,1
0.91068,1.4205,4628.5,0.70397,733.75,25.071,733.75,3.7795,1,1,1
0.89982,1.5159,7766.6,0.65967,1267.4,24.753,1267.4,5.6376,1,1,1
0.83505,3.1593,1.5688e+05,0.31652,30044,25.497,30044,298.13,1,1,1
0.84332,4.0517,13551,0.24681,2535.3,24.854,2535.3,936.17,1,1,1
0.92083,1.3903,837.27,0.71927,131.43,26.067,131.43,3.767,1,1,1
0.90791,1.4533,3009.2,0.68811,481.33,25.039,481.33,4.6554,1,1,1
0.90379,1.4798,49847,0.67577,8015.7,25.675,8015.7,4.646,1,1,1
0.89511,1.6338,1.8424e+05,0.61206,30274,25.448,30274,15.466,1,1,1
0.88084,1.7345,69825,0.57654,11902,25.497,11902,12.125,1,1,1
