0,0,0,0,0,0,0,0,0,0,0,0
0.8772,1.806,1.0293e+05,0.55371,17712,25.905,17712,18.384,1,1,1,1
0.87601,1.8381,71992,0.54405,12420,25.469,12420,23.266,1,1,1,1
0.87033,2.2151,1.3657e+05,0.45144,23898,25.514,23898,211.86,1,1,1,1
0.88026,2.3901,2.0046e+05,0.4184,34164,25.51,34164,224.33,1,1,1,1
0.83768,2.6566,51222,0.37641,9756.8,25.6,9756.8,94.16,1,1,1,1
0.8937,1.6499,1.1724e+05,0.60608,19336,25.399,19336,18.595,1,1,1,2
0.87743,1.9816,2.5816e+05,0.50465,44354,25.417,44354,46.79,1,1,1,2
0.89262,1.7224,1.9802e+05,0.58059,32747,25.244,32747,37.952,1,1,1,2
0.88732,1.911,1.5598e+05,0.5233,26132,25.426,26132,123.14,1,1,1,2
0.88761,1.8263,1.5884e+05,0.54756,26601,25.716,26601,49.997,1,1,1,2
0.90466,1.4638,65946,0.68316,10582,25.671,10582,4.2836,1,1,1,3
0.89428,1.601,1.5868e+05,0.6246,26135,25.425,26135,23.594,1,1,1,3
0.90259,1.4897,89668,0.67128,14463,25.453,14463,4.7875,1,1,1,3
0.90026,1.5187,1.8241e+05,0.65845,29590,25.545,29590,5.6718,1,1,1,3
0.88357,1.8902,2.8423e+05,0.52903,48072,25.574,48072,66.889,1,1,1,3
0.88809,4.6066,1.5679e+05,0.21708,26196,25.406,26196,4637.1,1,1,1,4
0.86138,2.4263,2.1236e+05,0.41215,38116,24.74,38116,203.68,1,1,1,4
0.90294,1.4836,52271,0.67403,8428.8,25.636,8428.8,4.7771,1,1,1,4
0.90386,1.4794,2.8566e+05,0.67596,45923,25.631,45923,4.8271,1,1,1,4
0.84384,2.8563,14319,0.3501,2683.4,25.236,2683.4,143.68,1,1,1,4
0.83119,3.3361,1.612e+05,0.29975,31174,25.522,31174,294.26,1,1,1,5
0.85307,2.3656,48271,0.42273,8842,26.303,8842,67.085,1,1,1,5
0.89717,1.5474,78530,0.64625,12844,25.525,12844,6.7311,1,1,1,5
0.88937,5.7501,2.5663e+05,0.17391,42785,25.906,42785,18288,1,1,1,5
0.86806,2.1864,2.7011e+05,0.45738,47524,25.594,47524,76.36,1,1,1,5
